location,new_deaths,new_cases,new_vaccinations,human_development_index,population_density,gdp_per_capita,extreme_poverty,handwashing_facilities,median_age,aged_65_older,aged_70_older,UrbanPop,Services %,Industry %,Balance Trade(million US$)
Afghanistan,5542.0,131248.0,14125.0,0.511,54422.0,1803987.0,0.0,37746.0,18.6,2581.0,1337.0,26.7,53.3,23.3,-2110.0
Albania,2336.0,235601.0,1417691.0,0.795,104871.0,11803431.0,1.1,0.0,38.0,13188.0,8643.0,57.4,51.7,26.0,-2707.0
Algeria,4119.0,166835.0,170786.0,0.748,17348.0,13913839.0,0.5,83741.0,29.1,6211.0,3857.0,70.7,50.5,37.3,-17099.0
Andorra,71.0,36622.0,4802.0,0.868,163755.0,0.0,0.0,0.0,0.0,0.0,0.0,85.1,88.6,10.8,-1255.0
Angola,1504.0,84348.0,0.0,0.581,23.89,5819495.0,0.0,26664.0,16.8,2405.0,1362.0,44.1,42.0,51.2,12221.0
Anguilla,10.0,3483.0,1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,82.0,15.7,-153.0
Antigua and Barbuda,139.0,8554.0,8412.0,0.778,231845.0,21490943.0,0.0,0.0,32.1,6933.0,4631.0,23.8,79.8,18.3,-429.0
Argentina,85957.0,7840313.0,107007583.0,0.845,16177.0,18933907.0,0.6,0.0,31.9,11198.0,7441.0,91.8,66.2,27.8,2124.0
Armenia,5808.0,264362.0,0.0,0.7759999999999999,102931.0,8787.58,1.8,94043.0,35.7,11232.0,7571.0,62.7,52.8,28.3,-1455.0
Aruba,234.0,36298.0,112576.0,0.0,584.8,35973781.0,0.0,0.0,41.2,13085.0,7452.0,41.5,84.1,15.4,-1022.0
Australia,9457.0,8812279.0,57693395.0,0.9440000000000001,3202.0,44648.71,0.5,0.0,37.9,15504.0,10129.0,89.4,71.1,26.5,224.0
Austria,12645.0,4262790.0,0.0,0.922,106749.0,45436686.0,0.7,0.0,44.4,19202.0,13748.0,66.0,70.4,28.3,-3795.0
Azerbaijan,7076.0,574713.0,10676493.0,0.7559999999999999,119309.0,15847419.0,0.0,83241.0,32.4,6018.0,3871.0,54.6,43.4,49.9,611.0
Bahamas,652.0,28612.0,9258.0,0.8140000000000001,39497.0,27717847.0,0.0,0.0,34.3,8996.0,5.2,82.9,85.7,12.7,-2539.0
Bahrain,1154.0,556726.0,2919262.0,0.852,1935907.0,43290705.0,0.0,0.0,32.4,2372.0,1387.0,88.8,59.0,40.7,-1856.0
Bangladesh,21675.0,1482830.0,122646232.0,0.632,1265036.0,3523984.0,14.8,34808.0,27.5,5098.0,3262.0,34.3,56.3,28.1,-16593.0
Barbados,472.0,87201.0,291920.0,0.8140000000000001,664463.0,16978068.0,0.0,88469.0,39.8,14952.0,9473.0,31.5,86.2,12.1,-1104.0
Belarus,5694.0,799753.0,0.0,0.823,46858.0,17167967.0,0.0,0.0,40.3,14799.0,9788.0,76.7,53.6,38.9,-4050.0
Belgium,12523.0,3702554.0,25694846.0,0.9309999999999999,375564.0,42658576.0,0.2,0.0,41.8,18571.0,12849.0,97.9,77.1,22.2,25321.0
Belize,436.0,55218.0,122692.0,0.716,16426.0,7824362.0,0.0,90083.0,25.0,3853.0,2279.0,44.0,66.9,18.5,-706.0
Benin,119.0,23965.0,0.0,0.545,99.11,2064236.0,49.6,11035.0,18.8,3244.0,1942.0,44.0,51.9,24.9,-2220.0
Bermuda,131.0,16118.0,0.0,0.0,1308.82,50669315.0,0.0,0.0,0.0,0.0,0.0,100.0,94.0,5.3,-963.0
Bhutan,21.0,59270.0,862033.0,0.654,21188.0,8708597.0,1.5,79807.0,28.6,4885.0,2977.0,38.6,38.8,43.9,-1072.0
Bosnia and Herzegovina,11778.0,269764.0,93862.0,0.78,68496.0,11713895.0,0.2,97164.0,42.5,16569.0,10711.0,39.8,66.2,26.5,-3803.0
Botswana,2718.0,310036.0,10435.0,0.735,4044.0,15807374.0,0.0,0.0,25.8,3941.0,2242.0,57.4,64.2,33.4,1218.0
Brazil,480361.0,25495208.0,446216563.0,0.765,25.04,14103452.0,3.4,0.0,33.5,8552.0,5.06,85.7,72.0,22.7,47683.0
British Virgin Islands,62.0,7045.0,0.0,0.0,207973.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,87.8,11.1,-444.0
Brunei,222.0,182811.0,259735.0,0.838,81347.0,71809251.0,0.0,0.0,32.4,4591.0,2382.0,77.2,38.7,60.2,2197.0
Bulgaria,29718.0,982580.0,4249895.0,0.816,65.18,18563307.0,1.5,0.0,44.7,20801.0,13272.0,73.9,67.2,27.6,-2787.0
Burkina Faso,302.0,14421.0,0.0,0.452,70151.0,1703102.0,43.7,11877.0,17.6,2409.0,1358.0,29.9,43.7,21.8,-1680.0
Burundi,36.0,42404.0,460.0,0.433,423062.0,702225.0,71.7,6144.0,17.5,2562.0,1504.0,12.1,49.8,13.9,-502.0
Cambodia,3056.0,136077.0,36482941.0,0.594,90672.0,3645.07,0.0,66229.0,25.6,4412.0,2385.0,20.7,42.3,29.4,-2109.0
Cameroon,1483.0,93791.0,10290.0,0.563,50885.0,3364926.0,23.8,2735.0,18.8,3165.0,1919.0,54.4,49.1,28.3,-2768.0
Canada,27159.0,3443841.0,86623094.0,0.929,4037.0,44017591.0,0.5,0.0,41.4,16984.0,10797.0,81.8,69.6,28.6,-14043.0
Cape Verde,297.0,50082.0,7462.0,0.665,135.58,6222554.0,0.0,0.0,25.7,4.46,3437.0,65.5,70.7,19.8,-455.0
Cayman Islands,28.0,28051.0,15339.0,0.0,256496.0,49903029.0,0.0,0.0,0.0,0.0,0.0,100.0,92.2,7.5,-972.0
Central African Republic,50.0,9749.0,12887.0,0.397,7479.0,661.24,0.0,16603.0,18.3,3655.0,2251.0,40.0,40.4,24.8,66.0
Chad,89.0,5314.0,0.0,0.398,11833.0,1768153.0,38.4,5818.0,16.7,2486.0,1446.0,22.5,35.6,39.0,619.0
Chile,31244.0,3528179.0,60270538.0,0.851,24282.0,22767037.0,1.3,0.0,35.4,11087.0,6938.0,89.5,63.3,32.8,1080.0
China,597.0,802235.0,3332487000.0,0.7609999999999999,147674.0,15308712.0,0.7,0.0,38.7,10641.0,5929.0,55.6,49.7,41.1,530285.0
Colombia,97152.0,4580722.0,50290307.0,0.767,44223.0,13254949.0,4.5,65386.0,32.2,7646.0,4312.0,76.4,59.2,34.0,-13786.0
Comoros,152.0,7386.0,0.0,0.5539999999999999,437352.0,1413.89,18.1,15574.0,20.4,2963.0,1726.0,28.3,65.3,4.0,-173.0
Congo,278.0,17497.0,1486.0,0.574,15405.0,4881406.0,37.0,47964.0,19.0,3402.0,2063.0,65.4,25.3,70.0,-7253.0
Cook Islands,1.0,5831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,82.9,9.0,-84.0
Costa Rica,6340.0,735613.0,0.0,0.81,96079.0,15524995.0,1.3,83841.0,33.6,9468.0,5694.0,76.8,73.4,21.5,-5414.0
Croatia,12236.0,957274.0,3729638.0,0.851,73726.0,22669797.0,0.7,0.0,44.0,19724.0,13053.0,59.0,69.3,26.6,-8182.0
Cuba,8383.0,1094935.0,33959717.0,0.7829999999999999,110408.0,0.0,0.0,85198.0,43.1,14738.0,9719.0,77.1,74.5,20.5,13089.0
Cyprus,966.0,523550.0,428204.0,0.887,127657.0,32415132.0,0.0,0.0,37.3,13416.0,8563.0,66.9,87.2,10.6,-4684.0
Czechia,28791.0,3237299.0,17678877.0,0.9,137176.0,32605906.0,0.0,0.0,43.3,19027.0,11.58,73.0,59.7,37.8,20932.0
Democratic Republic of Congo,785.0,74079.0,42303.0,0.48,35879.0,808133.0,77.1,4472.0,17.0,3.02,1745.0,42.5,35.9,44.2,-803.0
Denmark,5193.0,3042261.0,13196004.0,0.94,136.52,46682515.0,0.2,0.0,42.3,19677.0,12325.0,87.7,75.8,22.9,9222.0
Djibouti,128.0,9859.0,12179.0,0.524,41285.0,2705406.0,22.5,0.0,25.4,4213.0,2.38,77.3,75.3,21.4,-852.0
Dominica,68.0,14798.0,6417.0,0.742,98567.0,9673367.0,0.0,0.0,0.0,0.0,0.0,69.5,71.5,13.2,-191.0
Dominican Republic,1969.0,450262.0,13758640.0,0.7559999999999999,222873.0,14600861.0,1.6,55182.0,27.6,6981.0,4419.0,79.0,65.4,28.0,-18978.0
Ecuador,12949.0,715595.0,35090131.0,0.759,66939.0,10581936.0,3.6,80635.0,28.1,7104.0,4458.0,63.7,55.8,34.1,609.0
